City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Harper,4.375,-7.7169,78.75,87,29,7.52,LR,1644455923
Jamestown,42.097,-79.2353,42.39,37,0,11.5,US,1644455914
Vuktyl,63.8567,57.3094,16.74,88,100,16.31,RU,1644456474
Port Lincoln,-34.7333,135.8667,69.13,52,46,9.22,AU,1644456475
Lebu,-37.6167,-73.65,59.85,81,28,21.14,CL,1644455768
Hobart,-42.8794,147.3294,71.46,47,75,16.11,AU,1644456346
Cape Town,-33.9258,18.4232,68.88,87,75,6.91,ZA,1644456475
Heihe,50.2441,127.4902,1.98,92,96,8.1,CN,1644456475
Santa Isabel Rio Negro,-0.4139,-65.0192,73.24,98,96,1.39,BR,1644456476
Chokurdakh,70.6333,147.9167,-23.31,98,100,11.52,RU,1644456476
Kibala,9.1104,18.3463,69.75,28,0,0.0,TD,1644456476
Hilo,19.7297,-155.09,76.24,82,35,1.01,US,1644456217
Busselton,-33.65,115.3333,77.04,46,4,9.71,AU,1644456477
Rikitea,-23.1203,-134.9692,79.21,70,48,15.52,PF,1644455901
Hasaki,35.7333,140.8333,39.6,81,100,14.56,JP,1644456016
Mayo,38.8876,-76.5119,49.39,68,0,14.97,US,1644455836
Detva,48.5608,19.4195,39.22,96,46,4.34,SK,1644456477
Butaritari,3.0707,172.7902,81.99,77,100,14.16,KI,1644455913
George Town,5.4112,100.3354,80.53,88,40,1.14,MY,1644455876
Jever,53.5833,7.9,45.1,92,100,6.22,DE,1644456478
Arraial do Cabo,-22.9661,-42.0278,70.77,87,98,6.6,BR,1644455905
Ushuaia,-54.8,-68.3,47.86,46,40,20.71,AR,1644455647
Bowen,-20.0167,148.2333,86.22,62,4,4.03,AU,1644456204
Bambous Virieux,-20.3428,57.7575,74.21,75,93,5.32,MU,1644455957
Araguaçu,-12.9306,-49.8264,74.37,85,100,1.1,BR,1644456479
Punta Arenas,-53.15,-70.9167,46.51,57,40,21.85,CL,1644455747
San Juan de Urabá,8.7592,-76.5297,78.3,89,100,5.19,CO,1644456479
Kununurra,-15.7667,128.7333,89.58,62,71,4.61,AU,1644456017
Lagoa,39.05,-27.9833,58.66,68,1,15.84,PT,1644456480
Touho,-20.7833,165.2333,81.97,83,100,14.65,NC,1644456480
Puerto Ayora,-0.7393,-90.3518,73.9,81,91,6.98,EC,1644455912
Bredasdorp,-34.5322,20.0403,65.52,82,100,4.61,ZA,1644455926
Milas,37.3164,27.7839,43.95,42,0,13.8,TR,1644456480
Mundo Nuevo (Ojo de Agua),18.7,-95.5,67.12,82,21,8.48,MX,1644456481
Lerwick,60.1545,-1.1494,33.8,75,83,25.01,GB,1644456481
Tasiilaq,65.6145,-37.6368,14.16,54,100,9.22,GL,1644455917
Rawson,-43.3002,-65.1023,64.62,84,100,10.02,AR,1644455979
Saint-Philippe,-21.3585,55.7679,74.79,80,24,2.8,RE,1644455928
New Norfolk,-42.7826,147.0587,71.1,33,17,8.41,AU,1644455926
Kormilovka,55.0026,74.1028,-6.05,100,42,6.62,RU,1644456482
Saldanha,-33.0117,17.9442,62.65,92,25,2.62,ZA,1644455835
Hermanus,-34.4187,19.2345,67.89,88,99,2.46,ZA,1644455904
Fare,-16.7,-151.0167,81.1,77,69,14.99,PF,1644456482
Phan Thiet,10.9333,108.1,80.42,65,60,8.25,VN,1644456305
Ola,59.5833,151.2833,2.44,74,97,4.83,RU,1644456483
Vaini,-21.2,-175.2,86.16,89,40,10.36,TO,1644455901
Avera,33.194,-82.5271,53.53,52,0,6.6,US,1644455919
Mataura,-46.1927,168.8643,77.59,53,44,2.51,NZ,1644456483
Barra de Tecoanapa,16.5167,-98.75,77.47,72,5,5.19,MX,1644456484
Half Moon Bay,37.4636,-122.4286,71.89,39,0,11.5,US,1644456484
Dikson,73.5069,80.5464,5.32,94,100,20.83,RU,1644455769
Upernavik,72.7868,-56.1549,-14.31,81,100,12.91,GL,1644455786
Saint Paul Harbor,57.79,-152.4072,18.91,45,0,20.71,US,1644455682
Tuktoyaktuk,69.4541,-133.0374,-20.2,69,75,14.97,CA,1644455909
Nome,64.5011,-165.4064,-9.33,64,75,6.91,US,1644455987
Broken Hill,-31.95,141.4333,74.91,41,5,19.57,AU,1644456485
